,Predicted R_t
1495,0.015132992
1496,0.030822989
1497,0.05122929
1498,0.050375354
1499,0.048033737
1500,0.041081928
1501,0.03871136
1502,0.043571007
1503,0.04627191
1504,0.04717204
1505,0.03437307
1506,0.036792334
1507,0.036430843
1508,0.040612537
1509,0.021190321
1510,0.023985647
1511,0.042905606
1512,0.0117337685
1513,0.007148632
1514,0.02097545
1515,0.01727485
1516,0.021344883
1517,0.038367838
1518,0.03036147
1519,0.022121686
1520,0.0148339365
1521,0.019188259
1522,0.02159344
1523,0.015017367
1524,0.015925404
1525,0.024147186
1526,0.010301979
1527,-0.0032693786
1528,0.0076940604
1529,0.004636346
1530,0.006046329
1531,0.024212562
1532,0.028046701
1533,0.028863007
1534,0.036926102
1535,0.040322002
1536,0.040842924
1537,0.030555196
1538,0.037971724
1539,0.02629274
1540,0.015499255
1541,0.012850039
1542,0.0108264
1543,0.024287231
1544,0.026451824
1545,0.036570136
1546,0.03526449
1547,0.034990214
1548,0.04776078
1549,0.033312377
1550,0.02718591
1551,0.027833652
1552,0.030831419
1553,0.044682387
1554,0.055592727
1555,0.04866825
1556,0.04004377
1557,0.046516996
1558,0.05796757
1559,0.055124138
1560,0.057231095
1561,0.051646806
1562,0.05364634
1563,0.03328865
1564,0.017636871
1565,0.03253224
1566,0.023355847
1567,0.020327823
1568,0.016731694
1569,0.025983857
