,Predicted R_t
1009,-0.020076979
1010,-0.026284818
1011,-0.033979353
1012,-0.0375778
1013,-0.028689303
1014,-0.014093823
1015,-0.018681783
1016,-0.0102948
1017,-0.0074262447
1018,0.001095301
1019,0.035500735
1020,0.03871256
1021,0.043837503
1022,0.028496174
1023,0.026355468
1024,-0.000216146
1025,-0.004983756
1026,0.0025123833
1027,0.004201468
1028,-0.003254903
1029,0.010739149
1030,0.03120484
1031,0.034611393
1032,-0.011162271
1033,-0.013586736
1034,0.010418734
1035,0.012886997
1036,-0.0052272645
1037,-0.0013317857
1038,0.015254206
1039,0.011987775
1040,-0.006019603
1041,-0.016558167
1042,-0.023029584
1043,-0.015868912
1044,-0.027786672
1045,-0.030963834
1046,-0.02594877
1047,-0.06871
1048,-0.03822912
1049,-0.05170455
1050,-0.043339595
1051,-0.04813209
1052,-0.016772907
1053,-0.014753352
1054,-0.013939192
1055,-0.009839612
1056,-0.016982593
1057,-0.03584922
1058,-0.013823333
1059,-0.045185026
1060,-0.048918948
1061,-0.0574688
1062,-0.029525638
1063,-0.01701172
1064,1.4037358e-05
1065,-0.0173556
1066,-0.0012621842
1067,0.019461507
1068,0.05723965
1069,0.07882979
1070,0.076620795
1071,0.058419593
1072,0.06396064
1073,0.0530507
1074,0.046721388
1075,0.038945705
1076,0.053429782
1077,0.05996665
1078,0.077118106
1079,0.084558524
1080,0.07145926
1081,0.075282685
1082,0.06934863
1083,0.06409226
1084,0.055641994
1085,0.05303299
1086,0.043351304
1087,0.016369779
1088,0.014168942
1089,-0.0022875392
1090,-0.02789269
1091,-0.022861471
1092,-0.015438448
1093,-0.013793412
1094,-0.020324245
1095,-0.030345373
1096,-0.03255522
1097,-0.013442189
1098,-0.00795166
1099,-0.0012774761
1100,-0.0034425077
1101,0.0021139598
1102,-0.016413666
1103,-0.026937384
1104,-0.04081891
1105,-0.05292571
1106,-0.03895684
1107,-0.043871805
1108,-0.04404341
1109,-0.056187756
1110,-0.03274401
1111,-0.036633816
1112,-0.016164573
1113,-0.018243229
1114,-0.03784495
1115,-0.028581724
1116,-0.034581084
1117,-0.012717069
1118,-0.026780412
1119,-0.03806362
1120,-0.037993435
1121,-0.039726608
1122,-0.037488773
1123,-0.04292248
1124,-0.030046914
1125,-0.03040006
1126,-0.021625008
1127,-0.030020505
1128,-0.04379386
1129,-0.039259687
1130,-0.017566528
1131,-0.01464888
1132,-0.04395584
1133,-0.045572497
